MSN,YYYYMM,Value,Column_Order,Description,Unit
"""ELETPUS""","""197301""",160217.989,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197302""",143538.699,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197303""",148158.37,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197304""",139589.44,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197305""",147395.124,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197306""",161243.674,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197307""",173733.007,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197308""",177365.364,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197309""",156875.032,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197310""",154197.466,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197311""",148137.609,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197312""",153604.858,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197401""",157554.691,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197402""",142748.458,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197403""",150342.206,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197404""",142311.633,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197405""",153812.873,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197406""",156440.089,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197407""",178247.304,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197408""",174119.001,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197409""",152467.442,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197410""",152195.832,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197411""",150070.855,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197412""",160009.019,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197501""",164623.08,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197502""",147349.0,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197503""",155760.211,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197504""",146494.879,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197505""",153531.08,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197506""",162716.96,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197507""",177056.505,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197508""",179930.892,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197509""",155440.826,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""197510""",155187.742,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
