COAL,NATURALGAS,ELECTRICITY,PETRO_INDUSTRIAL,PETRO_RESIDENTIAL_COMMERCIAL,PETRO_TRANSPORTATION_ELECTRICPOWER,CO2
50578.608,2348.0,160217.989,4381.954000000001,1329.395,1806.8129999999999,454.077
45564.808,2126.0,143538.699,4562.494000000001,1267.475,1684.695,415.098
45402.955,2015.0,148158.37,4268.313,908.735,1381.8770000000002,407.423
43326.498,1835.0,139589.44,3933.325,692.3510000000001,1202.0339999999999,368.205
43999.759000000005,1729.0,147395.124,4432.89,579.239,1237.431,376.028
45542.675,1534.0,161243.674,4488.644,468.06199999999995,1556.257,359.983
48160.560999999994,1558.0,173733.00699999998,4368.452,442.25800000000004,1663.809,369.765
49255.285,1582.0,177365.36399999997,4874.846,492.467,1794.682,385.33099999999996
45874.65900000001,1527.0,156875.032,4665.059,523.403,1613.213,361.336
46978.210999999996,1708.0,154197.466,4656.218,677.83,1559.8139999999999,385.389
47213.008,1905.0,148137.609,4960.782999999999,882.523,1552.945,408.41900000000004
50686.575999999994,2182.0,153604.858,4161.777,1054.7939999999999,1454.816,429.789
50528.945,2230.0,157554.691,4342.435,1079.888,1517.037,429.20099999999996
45704.417,2054.0,142748.458,4232.827,1077.846,1460.844,390.726
46337.742999999995,2003.0,150342.206,3922.704,820.555,1286.839,392.583
43875.422,1691.0,142311.633,4099.133,664.602,1204.559,361.088
45384.372,1608.0,153812.87300000002,4029.031,493.852,1321.7060000000001,360.241
44733.986,1439.0,156440.089,4435.026,434.405,1378.9589999999998,346.97900000000004
48967.579000000005,1514.0,178247.30399999997,4461.282999999999,421.395,1623.345,367.63300000000004
49061.108,1510.0,174119.00100000002,4544.985,424.506,1585.6170000000002,370.06699999999995
44340.435,1537.0,152467.44199999998,4407.027,526.737,1491.151,349.995
46379.019,1706.0,152195.832,4590.05,671.8910000000001,1475.7579999999998,381.654
45068.598,1827.0,150070.855,4455.088,779.1310000000001,1635.1960000000001,385.79400000000004
48020.176,2104.0,160009.019,4091.118,1077.963,1744.505,424.995
50282.501,2248.0,164623.08,4445.768,973.283,1745.265,438.55
46157.315,1939.0,147349.0,3878.824,978.477,1556.605,384.031
47632.10400000001,1903.0,155760.211,3872.761,776.288,1304.383,393.659
44274.039000000004,1575.0,146494.87900000002,3700.13,689.304,1235.282,357.98
43394.793,1331.0,153531.08,3605.717,484.954,1193.548,336.301
45407.797999999995,1257.0,162716.96,3819.018,442.01300000000003,1365.7679999999998,333.37300000000005
48062.815,1313.0,177056.505,4162.635,391.788,1433.8129999999999,346.88699999999994
49607.932,1369.0,179930.892,3991.1209999999996,420.036,1591.701,353.319
44581.458,1370.0,155440.826,4163.059,503.64099999999996,1235.608,336.736
45360.755,1544.0,155187.742,4429.984,558.434,1227.611,360.533
46393.362,1640.0,153035.09699999998,3955.776,642.045,1252.184,358.024
51485.56,2049.0,169628.296,4401.741,994.807,1511.067,428.51599999999996
53398.648,2291.0,178608.612,4479.303,1157.904,1810.174,452.381
47273.41099999999,1938.0,156965.799,4353.708,987.691,1488.114,394.215
49050.888,1721.0,164466.676,4166.133,807.898,1418.839,395.74
46849.91,1508.0,153467.392,4074.29,594.3919999999999,1339.1029999999998,364.365
47117.843,1434.0,157664.467,4147.834,531.096,1222.395,356.969
48840.782,1335.0,173673.71899999998,4289.117,500.26599999999996,1455.4520000000002,357.673
52054.087999999996,1372.0,186691.04,4314.627,426.723,1524.411,369.41900000000004
52443.319,1317.0,186638.69600000003,4517.982,430.533,1583.729,366.963
48091.319,1302.0,165237.437,4595.139,489.01800000000003,1359.856,353.909
49756.081,1621.0,164009.445,4642.81,605.64,1362.6889999999999,384.212
52281.559,1875.0,169346.29100000003,4698.732,942.7560000000001,1744.871,419.899
56632.126,2232.0,184144.107,5074.332,1201.006,1920.5620000000001,478.786
56880.004,2407.0,196665.182,4633.104,1447.2520000000002,2449.005,489.05699999999996
50381.087999999996,1816.0,162949.08800000002,5291.978,1236.8010000000002,1815.53,418.716
50717.279,1715.0,169437.171,4642.9929999999995,793.592,1571.3229999999999,407.834
46765.90900000001,1439.0,157117.355,4525.914000000001,604.335,1482.981,369.907
49557.007000000005,1379.0,169596.40300000002,4464.28,555.513,1569.769,370.199
52194.032,1333.0,181031.212,4920.906,505.07599999999996,1686.503,376.595
56461.666,1325.0,199167.72600000002,4613.53,453.445,2014.884,387.715
55288.685,1364.0,196363.16600000003,4932.175,479.281,1827.2939999999999,391.245
51005.399000000005,1427.0,176497.56,4896.232,523.305,1528.4589999999998,377.07300000000004
50640.183,1518.0,166645.282,5019.932,638.577,1290.1960000000001,387.88
51177.702000000005,1690.0,167388.072,5008.693,719.794,1438.308,399.895
54222.009000000005,2108.0,184589.27,4955.887,1049.29,1834.639,458.996
54312.64599999999,2382.0,198107.635,4919.392,1021.008,2244.424,469.707
45488.03400000001,2139.0,173745.73100000003,5131.032,1098.922,2414.998,430.26599999999996
43287.532,1918.0,173460.887,4708.9,904.082,2081.3520000000003,422.298
46283.566,1539.0,160012.982,4644.52,573.187,1440.8110000000001,376.535
49416.422999999995,1380.0,175548.628,4860.098,573.289,1376.638,385.68
52795.014,1249.0,188585.38600000003,4820.608,513.757,1548.467,374.963
56200.329000000005,1333.0,202947.293,4730.452,453.58099999999996,1654.0220000000002,386.45
58055.96,1285.0,206658.74899999998,4834.793,550.993,1817.868,399.67
55024.081,1235.0,185802.05800000002,4890.082,564.471,1551.866,374.42800000000005
53002.850999999995,1440.0,176013.116,4987.848,667.2139999999999,1425.799,393.061
53155.041,1658.0,176389.093,4996.291,772.883,1560.3470000000002,410.36
58203.35,2069.0,192105.353,4907.431,974.789,1889.114,460.60900000000004
61198.502,2426.0,209986.74899999998,5525.47,1068.504,2214.105,494.61
54463.492,2204.0,186587.30899999998,5648.882,1115.4769999999999,2027.67,454.41900000000004
54864.257000000005,1881.0,183154.004,5513.83,764.8489999999999,1237.151,435.909
51601.295999999995,1594.0,170260.47199999998,4871.821,578.504,1185.202,383.215
54025.803,1429.0,178409.35600000003,5242.983,502.95599999999996,1208.2169999999999,387.9
56025.087,1309.0,186976.379,5256.047,445.032,1389.908,378.38199999999995
60397.407999999996,1330.0,202522.47699999998,5059.331,417.33099999999996,1433.07,385.89599999999996
60750.13,1342.0,205100.592,5431.578,462.035,1451.9470000000001,398.588
54219.414000000004,1329.0,180974.646,5166.454000000001,481.36699999999996,1286.719,370.657
55719.038,1557.0,179953.363,5533.2,579.31,1117.96,399.95099999999996
55996.922999999995,1768.0,177769.508,5409.196,675.4730000000001,1328.875,408.19
61262.898,2072.0,188970.171,5466.694,798.6260000000001,1406.601,452.131
63518.541,2237.743,200296.33,5402.524,1019.31,1392.408,463.846
59678.382000000005,2146.771,188961.379,5164.13,932.1489999999999,1457.11,438.273
58851.915,2053.945,187744.8,4946.504,680.403,1124.211,427.793
52635.272000000004,1534.606,169016.585,4724.227,493.092,919.195,373.654
52833.635,1356.886,176066.486,4686.375,477.11800000000005,899.543,361.096
