MSN,YYYYMM,Value,Column_Order,Description,Total,Unit
"""CLTCPUS""","""197301""",50578.608,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197302""",45564.808,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197303""",45402.955,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197304""",43326.498,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197305""",43999.759,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197306""",45542.675,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197307""",48160.561,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197308""",49255.285,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197309""",45874.659,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197310""",46978.211,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197311""",47213.008,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197312""",50686.576,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197401""",50528.945,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197402""",45704.417,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197403""",46337.743,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197404""",43875.422,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197405""",45384.372,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197406""",44733.986,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197407""",48967.579,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197408""",49061.108,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197409""",44340.435,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197410""",46379.019,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197411""",45068.598,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197412""",48020.176,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197501""",50282.501,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197502""",46157.315,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197503""",47632.104,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197504""",44274.039,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197505""",43394.793,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197506""",45407.798,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197507""",48062.815,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197508""",49607.932,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197509""",44581.458,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197510""",45360.755,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197511""",46393.362,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197512""",51485.56,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197601""",53398.648,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197602""",47273.411,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197603""",49050.888,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197604""",46849.91,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197605""",47117.843,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197606""",48840.782,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197607""",52054.088,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197608""",52443.319,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197609""",48091.319,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197610""",49756.081,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197611""",52281.559,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197612""",56632.126,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197701""",56880.004,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197702""",50381.088,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197703""",50717.279,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197704""",46765.909,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197705""",49557.007,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197706""",52194.032,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197707""",56461.666,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197708""",55288.685,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197709""",51005.399,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197710""",50640.183,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197711""",51177.702,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197712""",54222.009,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197801""",54312.646,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197802""",45488.034,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197803""",43287.532,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197804""",46283.566,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197805""",49416.423,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197806""",52795.014,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197807""",56200.329,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197808""",58055.96,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197809""",55024.081,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197810""",53002.851,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""197811""",53155.041,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
