Year,CO_ based on LCA calculation (Million Metric Tons),Actual CO_ (Million Metric Tons)
1973 January,297.7904447,454.0765901
1973 February,269.2686677,415.0976253
1973 March,264.4532407,407.4226322
1973 April,247.2480719,368.2046676
1973 May,246.5966258,376.0276606
1973 June,245.4396903,359.9826751
1973 July,257.1648589,369.7646662
1973 August,262.5744917,385.3306522
1973 September,244.3829915,361.3356738
1973 October,255.1510351,385.3886521
1973 November,263.7023726,408.4186313
1973 December,287.173798,429.7886121
1974 January,290.4579389,429.2006126
1974 February,265.2083443,390.7256473
1974 March,266.474018,392.5826456
1974 April,242.3961786,361.0876741
1974 May,245.8607707,360.2406748
1974 June,237.0370688,346.9786868
1974 July,258.4793398,367.6326682
1974 August,257.1176029,370.066666
1974 September,239.4969246,349.9946841
1974 October,252.8850905,381.6536555
1974 November,255.1021761,385.7936518
1974 December,279.4404246,424.9946164
1975 January,293.5010662,438.5496041
1975 February,262.142428,384.0306534
1975 March,266.5772474,393.6586447
1975 April,239.1344988,357.9796769
1975 May,227.2189458,336.3006964
1975 June,231.701749,333.3726991
1975 July,245.8148647,346.8866869
1975 August,253.2574598,353.3186811
1975 September,232.8039474,336.735696
1975 October,243.3346631,360.5326746
1975 November,249.5452921,358.0236768
1975 December,288.3553313,428.5156132
1976 January,308.09844,452.3805917
1976 February,268.2489099,394.2146442
1976 March,264.3388964,395.7396428
1976 April,244.5765756,364.3646711
1976 May,242.8035878,356.9686778
1976 June,247.9079899,357.6726771
1976 July,261.8296088,369.4186665
1976 August,260.0159337,366.9626688
1976 September,241.5356238,353.9086805
1976 October,260.8428071,384.2116532
1976 November,281.7681144,419.898621
1976 December,315.4055724,478.7855678
1977 January,328.9788959,489.0565586
1977 February,272.6293394,418.715622
1977 March,269.9917474,407.8336319
1977 April,242.5528026,369.9066661
1977 May,250.3670627,370.1986658
1977 June,258.7061963,376.5946601
1977 July,274.6067674,387.71465
1977 August,272.9231002,391.2446468
1977 September,258.8329815,377.0726596
1977 October,259.0184748,387.8796499
1977 November,269.2327349,399.894639
1977 December,303.6076594,458.9955857
1978 January,321.9796074,469.706576
1978 February,280.9592104,430.2656116
1978 March,264.38384,422.2976188
1978 April,247.426372,376.5346601
1978 May,252.6104949,385.6796519
1978 June,258.7238127,374.9626615
1978 July,275.7492001,386.4496512
1978 August,279.3968321,399.6696392
1978 September,262.1965091,374.427662
1978 October,264.2446878,393.0606452
1978 November,275.730807,410.3596296
1978 December,313.6984942,460.6085842
1979 January,344.8631826,494.6095535
1979 February,310.0180533,454.4185898
1979 March,293.2113622,435.9086065
1979 April,266.1971313,383.2146541
1979 May,266.7691524,387.8996499
1979 June,268.576012,378.3816585
1979 July,285.1896925,385.8956517
1979 August,287.8532954,398.5876402
1979 September,263.0563808,370.6566654
1979 October,277.7393439,399.950639
1979 November,288.0692003,408.1896315
1979 December,319.6360885,452.1305919
1980 January,337.0891759,463.8455813
1980 February,319.5494518,438.2726044
1980 March,312.1356348,427.7926139
1980 April,265.0733267,373.6536627
1980 May,259.0672256,361.0956741
1980 June,266.5357496,355.2756793
1980 July,294.6713979,376.4936602
1980 August,292.5638139,371.7346645
1980 September,272.3927578,363.2546721
1980 October,275.3575516,382.0056552
1980 November,289.4227212,391.4116467
1980 December,329.6502116,451.2815927
1981 January,350.8427968,470.1385756
1981 February,303.4741393,396.7376419
1981 March,306.2475134,401.6746374
1981 April,268.4133786,356.3916783
1981 May,268.1144012,357.3296775
1981 June,282.3217158,363.1736722
1981 July,306.8334127,380.5726565
1981 August,299.5775176,372.8286635
1981 September,274.4664605,356.1756785
1981 October,283.7809272,375.8116608
1981 November,285.5169634,374.1196623
1981 December,330.406024,431.4556105
1982 January,359.7324801,453.137591
1982 February,307.825341,393.9186444
1982 March,299.5099612,393.0556452
1982 April,265.2750515,363.7786716
1982 May,252.9629685,337.3256955
1982 June,257.7367727,332.9236995
1982 July,286.3569329,351.7356825
1982 August,284.2218182,353.1126813
1982 September,258.8880181,334.0946984
1982 October,260.4810707,343.7676897
1982 November,277.2467844,359.1996758
1982 December,298.2125552,388.3916494
1983 January,331.8317859,410.976629
1983 February,285.8008625,359.9316751
1983 March,286.6131854,381.8976553
1983 April,263.5250729,347.6906862
1983 May,255.3529171,336.788696
1983 June,262.5972206,337.937695
1983 July,299.0420519,361.4856737
1983 August,312.6740017,375.3416612
1983 September,274.8164799,346.6356871
1983 October,266.5150251,346.2256875
1983 November,278.2947991,359.8906751
1983 December,328.1543802,419.1356217
1984 January,367.1815997,461.981583
1984 February,317.1297671,394.5166439
1984 March,320.206629,411.4446286
1984 April,287.0932474,374.0106624
1984 May,281.4528554,365.9646697
1984 June,294.645277,362.6876726
1984 July,306.2694262,371.3646648
