Month,"Coal, Including Coal Coke Net Imports, CO2 Emissions (Million Metric Tons of Carbon Dioxide)","Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions (Million Metric Tons of Carbon Dioxide)",Aviation Gasoline CO2 Emissions (Million Metric Tons of Carbon Dioxide),"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions (Million Metric Tons of Carbon Dioxide)",Hydrocarbon Gas Liquids CO2 Emissions (Million Metric Tons of Carbon Dioxide),Jet Fuel CO2 Emissions (Million Metric Tons of Carbon Dioxide),Kerosene CO2 Emissions (Million Metric Tons of Carbon Dioxide),Lubricants CO2 Emissions (Million Metric Tons of Carbon Dioxide),"Motor Gasoline, Excluding Ethanol, CO2 Emissions (Million Metric Tons of Carbon Dioxide)",Petroleum Coke CO2 Emissions (Million Metric Tons of Carbon Dioxide),Residual Fuel Oil CO2 Emissions (Million Metric Tons of Carbon Dioxide),Other Petroleum Products CO2 Emissions (Million Metric Tons of Carbon Dioxide),"Petroleum, Excluding Biofuels, CO2 Emissions (Million Metric Tons of Carbon Dioxide)",Total Energy CO2 Emissions (Million Metric Tons of Carbon Dioxide)
1973 January,109.552,125.557,0.428,55.157,10.46,13.742,5.222,1.037,70.948,4.85,48.37,8.754,218.967,454.077
1973 February,98.833,113.75,0.431,51.771,8.846,12.193,4.475,1.025,67.422,3.992,44.686,7.674,202.515,415.098
1973 March,98.483,107.7,0.459,44.46,6.684,12.293,2.582,1.105,75.532,4.357,45.111,8.659,201.24,407.423
1973 April,94.15,97.838,0.446,33.973,5.79,12.112,2.031,0.979,73.415,4.179,35.063,8.23,176.218,368.205
1973 May,95.424,92.039,0.549,35.591,5.486,13.756,1.702,1.156,80.105,4.645,36.889,8.688,188.565,376.028
1973 June,98.888,81.657,0.471,31.175,4.5,12.039,1.464,1.006,78.155,4.872,36.914,8.846,179.439,359.983
1973 July,104.371,82.866,0.419,31.004,4.413,12.941,1.91,1.22,81.449,4.803,35.288,9.082,182.527,369.765
1973 August,106.631,84.098,0.668,34.029,5.229,12.956,1.886,1.187,84.156,5.01,40.315,9.168,194.602,385.331
1973 September,99.436,81.115,0.462,34.466,5.328,12.808,2.296,1.04,73.854,4.341,37.889,8.302,180.784,361.336
1973 October,102.224,90.662,0.55,39.032,6.642,13.631,2.308,1.28,77.434,5.142,37.895,8.591,192.503,385.389
1973 November,102.639,101.315,0.475,45.213,7.982,12.27,3.804,1.135,76.575,4.404,44.706,7.902,204.465,408.419
1973 December,110.014,116.242,0.413,49.169,8.146,13.422,3.065,1.121,72.33,4.543,43.072,8.255,203.534,429.789
1974 January,108.393,119.741,0.441,51.104,8.897,11.072,4.007,1.175,67.314,4.517,44.412,8.129,201.067,429.201
1974 February,98.038,110.109,0.304,46.322,7.241,9.608,3.264,0.979,63.896,4.04,39.528,7.398,182.579,390.726
1974 March,99.523,107.295,0.578,42.161,6.556,11.808,2.29,1.104,71.461,4.732,37.392,7.686,185.766,392.583
1974 April,94.502,90.595,0.445,36.774,5.694,11.234,1.618,1.055,72.467,4.075,34.504,8.126,175.99,361.088
1974 May,97.724,85.88,0.462,32.635,5.102,12.979,0.917,1.17,78.228,3.82,33.064,8.262,176.637,360.241
1974 June,96.07,76.821,0.527,30.639,4.8,11.353,1.428,0.919,77.655,4.123,34.05,8.597,174.089,346.979
1974 July,104.88,80.739,0.479,30.75,4.838,12.706,1.603,1.122,80.706,4.078,36.184,9.549,182.014,367.633
1974 August,105.132,80.445,0.64,30.75,5.068,12.725,1.809,1.014,81.893,4.166,37.005,9.422,184.491,370.067
1974 September,95.599,81.77,0.468,30.76,5.727,13.246,1.716,1.094,71.689,4.494,35.044,8.39,172.626,349.995
1974 October,100.218,90.836,0.557,38.462,6.756,12.484,2.475,1.126,77.843,3.838,38.204,8.857,190.6,381.654
1974 November,96.61,97.414,0.409,40.697,7.343,12.323,2.434,0.978,73.472,4.136,41.561,8.418,191.77,385.794
1974 December,102.597,112.563,0.348,51.342,8.511,12.89,3.141,0.992,76.053,4.454,43.651,8.454,209.836,424.995
1975 January,107.622,120.049,0.341,52.785,8.684,12.899,2.828,1.018,71.971,4.424,47.595,8.335,210.879,438.55
1975 February,98.975,103.804,0.365,45.765,6.932,12.006,2.937,0.716,63.856,4.026,37.645,7.004,181.252,384.031
1975 March,101.683,101.811,0.362,43.842,6.937,12.136,2.15,0.73,73.36,3.992,39.043,7.614,190.166,393.659
1975 April,94.247,84.462,0.41,39.873,5.697,12.044,1.819,0.968,75.397,4.171,31.61,7.281,179.27,357.98
1975 May,92.643,71.138,0.389,31.734,4.153,12.072,1.252,0.946,79.688,3.889,30.531,7.867,172.52,336.301
1975 June,96.166,67.018,0.423,29.234,3.832,11.842,1.644,1.005,79.416,4.029,30.825,7.942,170.189,333.373
1975 July,101.557,69.975,0.504,28.098,4.768,11.793,1.254,0.953,81.651,4.866,32.479,8.992,175.354,346.887
1975 August,104.64,72.856,0.471,28.952,5.079,12.936,1.376,1.035,81.276,4.519,31.559,8.62,175.823,353.319
1975 September,94.139,72.839,0.476,27.905,5.318,12.423,1.556,0.998,75.517,4.358,32.964,8.245,169.759,336.736
1975 October,96.01,82.033,0.471,35.658,6.113,12.309,1.879,1.091,78.602,4.929,33.188,8.252,182.49,360.533
1975 November,98.367,87.228,0.374,32.805,6.425,11.929,1.827,0.832,71.712,4.357,34.057,8.111,172.429,358.024
1975 December,108.982,109.313,0.322,50.525,8.873,11.226,3.541,0.977,78.954,4.541,42.601,8.664,210.222,428.516
1976 January,112.973,122.418,0.301,57.25,9.753,11.751,3.834,0.853,74.202,4.77,45.619,8.659,216.99,452.381
1976 February,100.126,103.688,0.292,46.083,6.757,11.168,2.621,0.914,67.952,4.072,42.111,8.433,190.401,394.215
1976 March,104.008,91.964,0.367,44.482,5.949,11.933,2.042,1.193,79.91,4.519,40.662,8.713,199.768,395.74
1976 April,99.377,80.482,0.387,35.928,4.99,12.079,1.73,1.064,80.351,4.241,35.334,8.403,184.506,364.365
1976 May,99.98,76.373,0.38,33.556,4.558,11.856,1.004,1.016,79.475,4.389,35.69,8.693,180.616,356.969
1976 June,103.527,71.05,0.523,31.412,4.231,11.626,1.501,1.123,83.97,4.128,35.524,9.059,183.096,357.673
1976 July,110.328,72.914,0.424,30.038,4.388,13.59,1.28,1.154,84.836,3.777,37.284,9.407,186.177,369.419
1976 August,111.255,69.972,0.513,29.803,4.812,11.939,1.213,1.012,83.131,5.2,39.184,8.932,185.736,366.963
1976 September,102.154,69.14,0.402,33.761,4.846,12.515,1.862,1.098,79.443,4.429,35.771,8.491,182.615,353.909
1976 October,106.259,85.949,0.396,40.361,6.827,11.268,2.002,1.031,80.357,4.118,37.266,8.381,192.005,384.212
1976 November,110.972,99.76,0.358,47.888,8.191,11.697,2.687,1.017,78.991,3.675,46.061,8.606,209.167,419.899
1976 December,120.216,119.068,0.319,62.175,9.702,12.696,3.92,1.042,82.779,4.23,53.323,9.317,239.503,478.786
1977 January,119.192,128.725,0.276,67.997,10.254,13.053,4.595,0.997,75.059,4.729,55.035,9.146,241.14,489.057
1977 February,105.947,97.524,0.322,56.646,8.587,11.576,3.076,0.784,72.273,3.988,49.143,8.851,215.245,418.716
1977 March,106.716,91.671,0.406,45.848,6.036,12.837,1.855,1.33,80.112,4.809,46.602,9.614,209.446,407.834
1977 April,98.488,76.829,0.385,37.829,4.732,12.157,1.474,1.064,82.434,4.133,40.686,9.698,194.59,369.907
1977 May,104.485,73.406,0.402,37.051,4.499,12.241,1.363,1.193,81.52,4.469,39.93,9.642,192.308,370.199
1977 June,109.769,70.957,0.52,35.701,4.597,11.809,1.223,1.183,85.214,4.14,41.876,9.606,195.868,376.595
1977 July,118.581,70.544,0.566,33.966,4.244,12.88,1.746,1.111,86.277,6.183,41.149,10.471,198.591,387.715
1977 August,115.926,72.559,0.489,35.053,4.589,13.738,1.507,1.24,86.05,4.841,44.604,10.651,202.76,391.245
1977 September,107.742,75.81,0.464,34.982,4.675,12.542,1.608,1.067,82.11,5.123,41.434,9.518,193.522,377.073
1977 October,106.906,80.677,0.373,40.435,6.042,12.565,2.438,1.107,82.693,4.893,39.605,10.147,200.297,387.88
1977 November,107.586,89.925,0.368,44.078,6.856,12.371,2.114,1.065,80.709,4.846,39.907,10.071,202.383,399.895
1977 December,114.381,112.454,0.292,56.009,8.604,13.495,3.542,0.956,85.526,4.399,49.067,10.273,232.161,458.996
1978 January,112.772,126.942,0.308,59.372,9.264,12.145,3.997,0.955,77.483,4.83,51.47,10.17,229.992,469.707
1978 February,94.299,114.279,0.31,58.322,8.145,12.383,3.708,0.981,72.03,4.001,52.513,9.298,221.689,430.266
1978 March,90.23,102.439,0.437,54.709,6.501,13.704,2.578,1.09,84.138,4.641,51.791,10.042,229.629,422.298
1978 April,97.705,82.029,0.385,40.088,4.505,12.096,1.345,1.185,80.832,3.382,42.514,10.47,196.802,376.535
1978 May,105.791,73.494,0.452,41.324,4.479,12.309,1.607,1.254,89.581,4.868,39.305,11.217,206.394,385.68
1978 June,110.876,66.53,0.451,36.566,4.18,12.507,1.133,1.304,88.809,4.318,37.17,11.121,197.556,374.963
1978 July,118.409,70.932,0.475,33.595,4.148,12.542,1.213,1.158,87.859,4.321,40.552,11.248,197.109,386.45
1978 August,121.997,68.33,0.549,37.308,4.18,13.931,1.449,1.294,91.296,4.96,42.851,11.527,209.343,399.67
1978 September,115.694,65.618,0.463,34.353,4.955,12.893,2.178,1.152,83.036,4.504,38.453,11.132,193.116,374.428
1978 October,112.126,76.399,0.46,40.991,6.286,13.2,2.226,1.248,86.375,4.657,38.345,10.749,204.536,393.061
1978 November,112.135,88.074,0.321,46.178,6.563,13.255,2.207,1.266,84.208,4.963,40.281,10.911,210.151,410.36
1978 December,122.148,110.136,0.329,55.356,7.949,12.953,2.934,1.176,86.416,4.612,45.458,11.145,228.325,460.609
1979 January,128.1,129.65,0.264,61,9.783,13.582,4.248,1.204,79.213,4.201,52.084,11.281,236.859,494.61
1979 February,113.964,118.113,0.269,57.884,8.739,12.855,3.926,1.051,75.989,3.861,47.513,10.255,222.341,454.419
1979 March,114.978,100.748,0.398,48.8,7.062,13.633,2.042,1.4,83.836,4.351,47.39,11.274,220.182,435.909
1979 April,108.558,85.245,0.363,38.873,6.021,11.736,1.949,1.298,79.179,3.61,35.501,10.883,189.412,383.215
1979 May,114.205,76.208,0.425,39.912,5.31,12.228,1.782,1.439,83.655,3.837,36.617,12.286,197.488,387.9
1979 June,117.945,69.801,0.26,34.9,5.012,13.088,1.738,1.258,80.703,5.046,36.569,12.064,190.635,378.382
1979 July,126.688,70.921,0.684,34.128,5.037,13.538,1.676,1.187,80.042,4.235,35.864,11.899,188.287,385.896
1979 August,127.473,71.533,0.557,36.764,5.66,13.437,2.035,1.326,85.01,5.905,37.303,11.587,199.583,398.588
