MSN,YYYYMM,Value,Column_Order,Description,Unit
"""PAEIZUS""","""197301""",1806.813,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197302""",1684.695,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197303""",1381.877,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197304""",1202.034,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197305""",1237.431,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197306""",1556.257,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197307""",1663.809,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197308""",1794.682,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197309""",1613.213,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197310""",1559.814,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197311""",1552.945,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197312""",1454.816,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197401""",1517.037,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197402""",1460.844,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197403""",1286.839,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197404""",1204.559,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197405""",1321.706,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197406""",1378.959,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197407""",1623.345,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197408""",1585.617,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197409""",1491.151,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197410""",1475.758,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197411""",1635.196,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197412""",1744.505,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197501""",1745.265,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197502""",1556.605,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197503""",1304.383,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197504""",1235.282,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197505""",1193.548,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197506""",1365.768,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197507""",1433.813,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197508""",1591.701,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197509""",1235.608,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197510""",1227.611,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197511""",1252.184,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197512""",1511.067,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197601""",1810.174,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197602""",1488.114,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197603""",1418.839,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197604""",1339.103,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197605""",1222.395,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197606""",1455.452,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197607""",1524.411,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197608""",1583.729,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197609""",1359.856,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197610""",1362.689,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197611""",1744.871,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197612""",1920.562,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197701""",2449.005,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197702""",1815.53,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197703""",1571.323,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197704""",1482.981,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197705""",1569.769,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197706""",1686.503,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197707""",2014.884,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197708""",1827.294,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197709""",1528.459,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""197710""",1290.196,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
