"COAL, Thousand Short Tons","NATURALGAS, Billion Cubic Feet","ELECTRICITY, Million Kilowatthours","PETRO_INDUSTRIAL, Thousand Barrels per Day","PETRO_COMMERCIAL, Thousand Barrels per Day","PETRO_RESIDENTIAL, Thousand Barrels per Day","PETRO_TRANSPORTATION, Thousand Barrels per Day","PETRO_ELECTRICPOWER, Thousand Barrels per Day","CO2, Million Metric Tons"
-1.1839555926711445,0.9657834738996475,-1.6075328393896537,-0.6158167531224189,4.489443110251243,4.409098270141026,-1.8485033324324913,2.5720634301360232,0.44247022655683765
-1.4760055781105093,0.512514117824567,-1.8404467137018163,-0.22923875462556914,4.1627434454665835,4.117592111472357,-1.566576822644106,2.319157818314343,-0.3464579561508281
-1.485433390606683,0.28587943978702685,-1.7759364455394702,-0.8591484819757519,2.2699747480368595,2.1975447363263045,-1.625231048961693,1.6920236402192415,-0.5017986216958996
-1.6063854103552704,-0.08163625432790327,-1.8955951771167565,-1.5764354574962063,1.12829871016923,1.1982308018888572,-1.702578778996536,1.3195699155689313,-1.2955641228485526
-1.567168476044589,-0.2980621630844732,-1.7865946080220012,-0.5067509675267868,0.5315019969405095,0.5056672843772823,-1.3824636763571638,1.3928768804852587,-1.1372279630362923
-1.4772948083007298,-0.6962041650423142,-1.5932099115447713,-0.3873687268699056,-0.05508535176369043,-0.1463240666972471,-1.454859525232471,2.0531635261448598,-1.4619759732865427
-1.3248049666273654,-0.6472020724936568,-1.4188056691216981,-0.644727665583395,-0.1912313167201393,-0.24728758180790436,-1.4701367350565788,2.2759030433548153,-1.263989994086297
-1.2610381374239417,-0.5981999799449994,-1.3680825063398951,0.4395792967009382,0.07367926902231753,-0.06276407987621226,-1.270417878494963,2.54694020524691,-0.9489368605521502
-1.4579569961889376,-0.7104964420356725,-1.6542147465049424,-0.009623309761111113,0.2369024736375989,0.1738006524120008,-1.5932640219796788,2.171119044798257,-1.4345914885331248
-1.393675942790003,-0.34093899406454836,-1.6916049634018562,-0.028553940561547496,1.0516836288976203,0.9484046704255001,-1.5243387554362313,2.0605300508279503,-0.9477629506366295
-1.3799991985179523,0.06128651560568065,-1.7762263574568595,0.6235903383361645,2.131676110870589,2.185282999203207,-1.3794412506264968,2.0463043949246185,-0.48163975487076655
-1.1776665398912338,0.6268523337714342,-1.6998802931807844,-1.0872667585231122,3.040605018366034,3.153910836861843,-1.7343203427688034,1.84307985159399,-0.04911467048012586
-1.1868484241416608,0.7248565188687489,-1.64472381428294,-0.7004360946677668,3.1730049115848042,3.284271472740673,-2.0533369354697752,1.9719391522143472,-0.0610156882443611
-1.4678734614689986,0.365507840178595,-1.8514818412732126,-0.9351322354633954,3.162230998220944,3.249527924103558,-1.9079447411113821,1.855563801773825,-0.8397429985826823
-1.4309827101270287,0.26137839351269815,-1.745440800723511,-1.5991774809925778,1.8047231905318326,1.8944965972120102,-1.877201973818659,1.4952005384954257,-0.8021576414599199
-1.5744110104575246,-0.37564880961984737,-1.8575817773703975,-1.221402086637861,0.9818906191144893,0.9908420886443636,-1.7272002478428017,1.324799174726875,-1.439610965413278
-1.4865158360331896,-0.545114379683954,-1.6969755184832374,-1.371506721902213,0.0809867469894808,0.12481721186173914,-1.5670676344471435,1.5674098767370166,-1.4567540981450933
-1.5244003192255724,-0.8901707813807495,-1.6602884018724644,-0.502177296291664,-0.2326649806018245,-0.23692402651069155,-1.4887111365868697,1.6859804805270115,-1.7251746722765235
-1.277796790164541,-0.7370392421661953,-1.3557668704638555,-0.4459549715628967,-0.3013077880767665,-0.32912109346140556,-1.4814148812168888,2.1921023532292607,-1.307141303394712
