Year,"COAL, Thousand Short Tons","NATURALGAS, Billion Cubic Feet","ELECTRICITY, Million Kilowatthours","PETRO_INDUSTRIAL, Thousand Barrels per Day","PETRO_RESIDENTIAL_COMMERCIAL, Thousand Barrels per Day","PETRO_TRANSPORTATION_ELECTRICPOWER, Thousand Barrels per Day",CO2_ based on LCA calculation (Million Metric Tons)
197301,50578.608,2348,160217.989,4381.954,1329.395,1806.813,297.7904447
197302,45564.808,2126,143538.699,4562.494,1267.475,1684.695,269.2686677
197303,45402.955,2015,148158.37,4268.313,908.735,1381.877,264.4532407
197304,43326.498,1835,139589.44,3933.325,692.351,1202.034,247.2480719
197305,43999.759,1729,147395.124,4432.89,579.239,1237.431,246.5966258
197306,45542.675,1534,161243.674,4488.644,468.062,1556.257,245.4396903
197307,48160.561,1558,173733.007,4368.452,442.258,1663.809,257.1648589
197308,49255.285,1582,177365.364,4874.846,492.467,1794.682,262.5744917
197309,45874.659,1527,156875.032,4665.059,523.403,1613.213,244.3829915
197310,46978.211,1708,154197.466,4656.218,677.83,1559.814,255.1510351
197311,47213.008,1905,148137.609,4960.783,882.523,1552.945,263.7023726
197312,50686.576,2182,153604.858,4161.777,1054.794,1454.816,287.173798
197401,50528.945,2230,157554.691,4342.435,1079.888,1517.037,290.4579389
197402,45704.417,2054,142748.458,4232.827,1077.846,1460.844,265.2083443
197403,46337.743,2003,150342.206,3922.704,820.555,1286.839,266.474018
197404,43875.422,1691,142311.633,4099.133,664.602,1204.559,242.3961786
197405,45384.372,1608,153812.873,4029.031,493.852,1321.706,245.8607707
197406,44733.986,1439,156440.089,4435.026,434.405,1378.959,237.0370688
197407,48967.579,1514,178247.304,4461.283,421.395,1623.345,258.4793398
197408,49061.108,1510,174119.001,4544.985,424.506,1585.617,257.1176029
197409,44340.435,1537,152467.442,4407.027,526.737,1491.151,239.4969246
197410,46379.019,1706,152195.832,4590.05,671.891,1475.758,252.8850905
197411,45068.598,1827,150070.855,4455.088,779.131,1635.196,255.1021761
197412,48020.176,2104,160009.019,4091.118,1077.963,1744.505,279.4404246
197501,50282.501,2248,164623.08,4445.768,973.283,1745.265,293.5010662
